name,category,brand,price,rating,reviews_count,stock_status,size,size_type,link
"Muscletech,Platinum,мультивитамины,90 таблеток","Питание для физической активности,Добавки для физической активности,Мультивитамины, физическая активность",Muscletech,952.22,4.7,5456,1,90,штука,https://ru.iherb.com/pr/muscletech-platinum-multi-vitamin-90-tablets/105710
"21st Century,Витамин Е,180 мг (400 МЕ),110 мягких желатиновых капсул","Пищевые добавки,Витамины,Витамин Е",21st Century,385.95,4.7,6309,1,110,штука,https://ru.iherb.com/pr/21st-century-vitamin-e-180-mg-400-iu-110-softgels/43747
"Now Foods,фолиевая кислота,800 мкг,250 таблеток","Пищевые добавки,Витамины,Витамин B,Фолиевая кислота",Now Foods,352.89,4.8,12202,1,250,штука,https://ru.iherb.com/pr/now-foods-folic-acid-800-mcg-250-tablets/601
"Life Extension,таблетки для приема дважды в день,60 таблеток","Пищевые добавки,Витамины,Мультивитамины",Life Extension,686.22,4.7,16191,1,60,штука,https://ru.iherb.com/pr/life-extension-two-per-day-tablets-60-tablets/86455
"California Gold Nutrition,витамин D3,50 мкг (2000 МЕ),90 рыбно-желатиновых капсул","Пищевые добавки,Витамины,Витамин D,D3 (холекальциферол)",California Gold Nutrition,298.03,4.9,22172,1,90,штука,https://ru.iherb.com/pr/california-gold-nutrition-vitamin-d3-50-mcg-2-000-iu-90-fish-gelatin-softgels/77548
"Now Foods,жидкий витамин D-3 с повышенной силой действия,1000 МЕ,30 мл (1 жидк. унция)","Пищевые добавки,Витамины,Витамин D,D3 (холекальциферол)",Now Foods,618.43,4.9,11597,1,1,жидкая унция,https://ru.iherb.com/pr/now-foods-liquid-vitamin-d-3-extra-strength-1-000-iu-1-fl-oz-30-ml/47291
"Life Extension,витамины D и К с йодом Sea-Iodine,60 капсул","Пищевые добавки,Витамины,Витамин D,Пищевые добавки,Микроэлементы,Йод",Life Extension,1341.15,4.8,7943,1,60,штука,https://ru.iherb.com/pr/life-extension-vitamins-d-and-k-with-sea-iodine-60-capsules/78779
"Doctor's Best,витамин D3,125 мкг (5000 МЕ),360 мягких таблеток","Пищевые добавки,Витамины,Витамин D,D3 (холекальциферол)",Doctor's Best,877.16,4.8,24215,1,360,штука,https://ru.iherb.com/pr/doctor-s-best-vitamin-d3-125-mcg-5-000-iu-360-softgels/36580
"21st Century,витамин C,1000 мг,60 таблеток","Пищевые добавки,Витамины,Витамин С,Аскорбиновая кислота",21st Century,223.52,4.7,10427,1,60,штука,https://ru.iherb.com/pr/21st-century-vitamin-c-1-000-mg-60-tablets/100066
"Doctor's Best,витамин D3,125 мкг (5 000 МЕ),180 капсул","Пищевые добавки,Витамины,Витамин D,D3 (холекальциферол)",Doctor's Best,500.92,4.8,24215,1,180,штука,https://ru.iherb.com/pr/doctor-s-best-vitamin-d3-125-mcg-5-000-iu-180-softgels/21367
"Sundown Naturals,Комплекс витаминов группы В,100 таблеток","Пищевые добавки,Витамины,Витамин B,Комплекс витаминов группы B",Sundown Naturals,367.48,4.7,6244,1,100,штука,https://ru.iherb.com/pr/sundown-naturals-b-complex-100-tablets/32621
"California Gold Nutrition,витамин C в жидкой форме для детей,класса USP,со вкусом терпкого апельсина,118 мл (4 жидк. унции)","Товары для детей,Здоровье детей,Витамин C для детей,Пищевые добавки,Витамины,Витамин С,Аскорбиновая кислота",California Gold Nutrition,521.56,4.9,12418,1,4,жидкая унция,https://ru.iherb.com/pr/california-gold-nutrition-children-s-liquid-gold-vitamin-c-usp-grade-tart-orange-flavor-4-fl-oz-118-ml/71370
"Nature's Way,Alive! комплекс мультивитаминов для детей,со вкусом апельсина и ягод,120 жевательных таблеток","Товары для детей,Здоровье детей,Детские мультивитамины",Nature's Way,868.77,4.7,20327,1,120,штука,https://ru.iherb.com/pr/nature-s-way-alive-kid-s-chewable-multivitamin-orange-berry-120-chewable-tablets/43068
"Natural Factors,All-In-One Immunity Startup Kit,4 Piece Kit","Пищевые добавки,Витамины,Витамин С,Аскорбиновая кислота,Пищевые добавки,Витамины,Витамин D,D3 (холекальциферол)",Natural Factors,2235.25,4.9,879,1,4,штука,https://ru.iherb.com/pr/natural-factors-all-in-one-immunity-startup-kit-4-piece-kit/109390
"Lake Avenue Nutrition,Витамин C,с Quali-C,1000 мг,60 вегетарианских капсул","Пищевые добавки,Витамины,Витамин С,Аскорбиновая кислота,Пищевые добавки,Витамины,Витамин С,Quali-C",Lake Avenue Nutrition,521.56,4.7,5425,1,60,штука,https://ru.iherb.com/pr/lake-avenue-nutrition-vitamin-c-quali-c-1-000-mg-60-veggie-capsules/96338
"Garden of Life,Vitamin Code,RAW D3,50 мкг (2000 МЕ),120 вегетарианских капсул","Пищевые добавки,Витамины,Витамин D,D3 (холекальциферол)",Garden of Life,2085.69,4.7,920,1,120,штука,https://ru.iherb.com/pr/garden-of-life-vitamin-code-raw-d3-50-mcg-2-000-iu-120-vegetarian-capsules/46037
"Doctor's Best,активный витамин B12,1500 мкг,60 вегетарианских капсул","Пищевые добавки,Витамины,Витамин B,B12",Doctor's Best,376.24,4.7,5607,1,60,штука,https://ru.iherb.com/pr/doctor-s-best-fully-active-b12-1-500-mcg-60-veggie-caps/46876
"Now Foods,C-1000,100 таблеток","Пищевые добавки,Витамины,Витамин С",Now Foods,574.76,4.7,11861,1,100,штука,https://ru.iherb.com/pr/now-foods-c-1000-100-tablets/39672
"Natural Factors,витамин C,с медленным высвобождением,1000 мг,180 таблеток","Пищевые добавки,Витамины,Витамин С",Natural Factors,767.14,4.7,5057,1,180,штука,https://ru.iherb.com/pr/natural-factors-vitamin-c-time-release-1-000-mg-180-tablets/2556
"California Gold Nutrition,Gold C Powder,витамин C,1000 мг,250 г (8,81 унции)","Пищевые добавки,Витамины,Витамин С,Аскорбиновая кислота",California Gold Nutrition,670.57,4.7,5649,1,8.81,унция,https://ru.iherb.com/pr/california-gold-nutrition-gold-c-powder-vitamin-c-1-000-mg-8-81-oz-250-g/59561
"Super Nutrition,Perfect Family,мультивитамины с супер зеленью и травами,без железа,240 таблеток","Пищевые добавки,Витамины,Мультивитамины",Super Nutrition,2685.28,4.4,1433,1,240,штука,https://ru.iherb.com/pr/super-nutrition-perfect-family-multivitamin-with-super-greens-herbs-iron-free-240-tablets/57131
"Jarrow Formulas,Метилфолат,400 мкг,60 растительных капсул","Пищевые добавки,Витамины,Витамин B,Фолиевая кислота",Jarrow Formulas,499.21,4.9,12941,1,60,штука,https://ru.iherb.com/pr/jarrow-formulas-methyl-folate-400-mcg-60-veggie-caps/42778
"21st Century,витамин C,500 мг,110 таблеток","Пищевые добавки,Витамины,Витамин С,Аскорбиновая кислота",21st Century,248.11,4.7,11614,1,110,штука,https://ru.iherb.com/pr/21st-century-vitamin-c-500-mg-110-tablets/43729
"Solgar,витамин D3 (холекальциферол),125 мкг (5000 МЕ),100 капсул","Пищевые добавки,Витамины,Витамин D,D3 (холекальциферол)",Solgar,977.92,4.9,8136,1,100,штука,https://ru.iherb.com/pr/solgar-vitamin-d3-cholecalciferol-125-mcg-5-000-iu-100-softgels/23559
"Fairhaven Health,мио-Инозитол,для женщин и мужчин,120 капсул","Пищевые добавки,Витамины,Витамин B,Инозитол",Fairhaven Health,1810.55,4.7,6409,1,120,штука,https://ru.iherb.com/pr/fairhaven-health-myo-inositol-for-women-and-men-120-capsules/62649
"Nature's Plus,Source of Life,Animal Parade,витамин C,жевательная добавка без сахара для детей,вкус натурального апельсинового сока,90 таблеток в форме животных","Товары для детей,Здоровье детей,Витамин C для детей",Nature's Plus,701.42,4.9,7423,1,90,штука,https://ru.iherb.com/pr/nature-s-plus-source-of-life-animal-parade-vitamin-c-children-s-chewable-supplement-sugar-free-natural-orange-juice-flavor-90-animal-shaped-tablets/25899
"MRM,веганские витамины D3 и K2,62,5 мкг (2500 МЕ),60 веганских капсул","Пищевые добавки,Витамины,Витамин D,D3 (холекальциферол),Пищевые добавки,Витамины,Витамин К",MRM,669.83,4.8,6017,1,60,штука,https://ru.iherb.com/pr/mrm-vegan-vitamin-d3-k2-60-vegan-capsules/77415
